Conditions,Classes
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts > -0.46345798671245575 AND Src_Port <= 0.8749170005321503 AND Src_Port > 0.8734250068664551 AND Src_Port > 0.8735286295413971 AND Src_Port > 0.8740052282810211 AND Src_Port > 0.874875545501709 AND Flow_IAT_Min <= -0.2332005798816681 AND Flow_IAT_Min <= -0.24092324078083038 AND Init_Bwd_Win_Byts > 1.932635247707367 AND Init_Bwd_Win_Byts > 1.9705263376235962 AND Flow_Duration <= -0.1558264121413231 AND Flow_Duration <= -0.15745670348405838 AND Flow_Duration <= -0.1580001339316368 AND Init_Bwd_Win_Byts <= 1.9983078241348267 AND Init_Bwd_Win_Byts <= 1.9850937128067017 AND Flow_IAT_Min > -0.24368134140968323 AND Flow_Duration > -0.17810705304145813 AND Init_Bwd_Win_Byts <= 1.9800786972045898 AND Init_Bwd_Win_Byts <= 1.972795009613037,Scan Port OS
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts <= -0.46345798671245575 AND Flow_IAT_Min > -0.24809429049491882 AND Dst_Port <= -0.6557728350162506 AND Flow_Duration <= -0.14930524677038193 AND Src_Port > -1.2714509963989258 AND Init_Bwd_Win_Byts <= -0.5932110548019409 AND Src_Port > -1.1619142889976501 AND Init_Bwd_Win_Byts <= -0.5978280305862427 AND Init_Bwd_Win_Byts > -0.6002161204814911 AND Src_Port <= 0.8472737967967987 AND Init_Bwd_Win_Byts <= -0.598624050617218 AND Src_Port > 0.4540109485387802 AND Src_Port <= 0.8435645401477814 AND Src_Port <= 0.7489891648292542 AND Src_Port <= 0.7080217003822327 AND Src_Port > 0.6024636328220367,MITM ARP Spoofing
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts <= -0.46345798671245575 AND Flow_IAT_Min > -0.24809429049491882 AND Dst_Port > -0.6557728350162506 AND Dst_Port <= 1.365336298942566 AND Bwd_PSH_Flags <= 2.5738614946603775 AND Src_Port <= 1.096891462802887 AND Flow_Duration > -0.14957696199417114 AND Dst_Port <= -0.44733037054538727 AND Init_Bwd_Win_Byts > -0.6017683744430542 AND Flow_Duration > -0.1490335315465927 AND Flow_IAT_Min <= -0.12894463539123535 AND Flow_IAT_Min > -0.24533619731664658 AND Src_Port > -1.05552738904953 AND Flow_IAT_Min > -0.24092324078083038 AND Flow_Duration <= -0.11914486810564995 AND Src_Port <= 1.055550992488861 AND Dst_Port > -0.6098650693893433 AND Src_Port <= 0.8471080362796783 AND Flow_IAT_Min > -0.22161658853292465,Mirai-Ackflooding
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts <= -0.46345798671245575 AND Flow_IAT_Min > -0.24809429049491882 AND Dst_Port > -0.6557728350162506 AND Dst_Port > 1.365336298942566 AND Dst_Port <= 1.8418747782707214 AND Dst_Port > 1.8062099814414978 AND Flow_Duration <= -0.14781081676483154 AND Init_Bwd_Win_Byts > -0.5936886668205261 AND Init_Bwd_Win_Byts <= -0.5081949383020401,Mirai-Hostbruteforceg
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts <= -0.46345798671245575 AND Flow_IAT_Min > -0.24809429049491882 AND Dst_Port > -0.6557728350162506 AND Dst_Port <= 1.365336298942566 AND Bwd_PSH_Flags <= 2.5738614946603775 AND Src_Port <= 1.096891462802887 AND Flow_Duration > -0.14957696199417114 AND Dst_Port > -0.44733037054538727 AND Flow_Duration > -0.14930524677038193 AND Dst_Port <= -0.3370986729860306 AND Flow_IAT_Min > -0.23926838487386703 AND Flow_Duration <= -0.11805800721049309 AND Src_Port <= 0.9361713528633118 AND Flow_Duration > -0.12648117542266846 AND Flow_IAT_Min <= -0.1328059658408165 AND Flow_IAT_Min > -0.234303817152977 AND Flow_IAT_Min > -0.2177552580833435 AND Flow_Duration <= -0.11846558004617691 AND Flow_Duration <= -0.12023172900080681,Mirai-Ackflooding
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts <= -0.46345798671245575 AND Flow_IAT_Min > -0.24809429049491882 AND Dst_Port > -0.6557728350162506 AND Dst_Port <= 1.365336298942566 AND Bwd_PSH_Flags <= 2.5738614946603775 AND Src_Port <= 1.096891462802887 AND Flow_Duration <= -0.14957696199417114 AND Src_Port <= 0.2681964337825775 AND Src_Port > -1.2999852895736694 AND Dst_Port > 1.298836350440979 AND Flow_Duration > -0.16071728616952896 AND Flow_Duration <= -0.1525658294558525 AND Flow_IAT_Min > -0.19403564929962158 AND Flow_Duration > -0.15392440557479858 AND Flow_Duration <= -0.15283754467964172 AND Flow_Duration <= -0.15310925990343094 AND Flow_IAT_Min <= -0.19238079339265823 AND Flow_Duration <= -0.15365269035100937,Mirai-Ackflooding
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts > -0.46345798671245575 AND Src_Port <= 0.8749170005321503 AND Src_Port > 0.8734250068664551 AND Src_Port > 0.8735286295413971 AND Src_Port > 0.8740052282810211 AND Src_Port > 0.874875545501709 AND Flow_IAT_Min <= -0.2332005798816681 AND Flow_IAT_Min <= -0.24092324078083038 AND Init_Bwd_Win_Byts <= 1.932635247707367 AND Flow_Duration > -0.17783533781766891 AND Flow_IAT_Min > -0.24423296004533768 AND Flow_Duration <= -0.15283754467964172 AND Flow_Duration <= -0.15473955124616623 AND Flow_Duration <= -0.15528298169374466 AND Bwd_PSH_Flags <= 2.5738614946603775 AND Flow_IAT_Min <= -0.24147485941648483 AND Flow_Duration > -0.15827184915542603 AND Flow_Duration > -0.1580001339316368 AND Flow_Duration > -0.15718498826026917,Scan Port OS
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts <= -0.46345798671245575 AND Flow_IAT_Min > -0.24809429049491882 AND Dst_Port > -0.6557728350162506 AND Dst_Port <= 1.365336298942566 AND Bwd_PSH_Flags <= 2.5738614946603775 AND Src_Port <= 1.096891462802887 AND Flow_Duration <= -0.14957696199417114 AND Src_Port <= 0.2681964337825775 AND Src_Port > -1.2999852895736694 AND Dst_Port > 1.298836350440979 AND Flow_Duration > -0.16071728616952896 AND Flow_Duration <= -0.1525658294558525 AND Flow_IAT_Min <= -0.19403564929962158 AND Flow_IAT_Min > -0.20672287791967392 AND Flow_Duration <= -0.15473955124616623 AND Flow_IAT_Min <= -0.19569050520658493 AND Flow_Duration <= -0.15528298169374466 AND Flow_IAT_Min > -0.20561964064836502 AND Flow_IAT_Min > -0.20120669156312943,Mirai-HTTP Flooding
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts <= -0.46345798671245575 AND Flow_IAT_Min > -0.24809429049491882 AND Dst_Port > -0.6557728350162506 AND Dst_Port <= 1.365336298942566 AND Bwd_PSH_Flags <= 2.5738614946603775 AND Src_Port <= 1.096891462802887 AND Flow_Duration > -0.14957696199417114 AND Dst_Port <= -0.44733037054538727 AND Init_Bwd_Win_Byts > -0.6017683744430542 AND Flow_Duration > -0.1490335315465927 AND Flow_IAT_Min <= -0.12894463539123535 AND Flow_IAT_Min > -0.24533619731664658 AND Src_Port > -1.05552738904953 AND Flow_IAT_Min <= -0.24092324078083038 AND Src_Port <= 1.026623010635376 AND Flow_Duration <= -0.12050344422459602 AND Src_Port > 0.8469007909297943 AND Flow_IAT_Min <= -0.24147485941648483 AND Flow_IAT_Min <= -0.24202647805213928,Mirai-Ackflooding
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts > -0.46345798671245575 AND Src_Port <= 0.8749170005321503 AND Src_Port <= 0.8734250068664551 AND Dst_Port > 1.8512156009674072 AND Dst_Port <= 1.8638468384742737 AND Dst_Port > 1.8575577139854431 AND Dst_Port <= 1.8590437769889832 AND Dst_Port <= 1.8583272695541382 AND Init_Bwd_Win_Byts <= 1.9986262321472168 AND Init_Bwd_Win_Byts <= 1.9921783804893494 AND Flow_IAT_Min > -0.24423296004533768 AND Init_Bwd_Win_Byts > 1.9640784859657288 AND Flow_Duration <= -0.1577284187078476 AND Flow_Duration <= -0.15854356437921524 AND Flow_Duration > -0.1666950136423111 AND Init_Bwd_Win_Byts <= 1.9918599724769592 AND Flow_IAT_Min <= -0.21389392763376236 AND Init_Bwd_Win_Byts <= 1.9917007684707642 AND Init_Bwd_Win_Byts > 1.9849345088005066,Scan Hostport
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts <= -0.46345798671245575 AND Flow_IAT_Min > -0.24809429049491882 AND Dst_Port > -0.6557728350162506 AND Dst_Port <= 1.365336298942566 AND Bwd_PSH_Flags <= 2.5738614946603775 AND Src_Port <= 1.096891462802887 AND Flow_Duration <= -0.14957696199417114 AND Src_Port <= 0.2681964337825775 AND Src_Port > -1.2999852895736694 AND Dst_Port <= 1.298836350440979 AND Dst_Port <= 0.860032469034195 AND Init_Bwd_Win_Byts <= -0.6030022203922272 AND Src_Port <= -0.8920719027519226 AND Dst_Port > -0.49411383271217346 AND Flow_IAT_Min > -0.24368134140968323 AND Flow_Duration > -0.17729190737009048 AND Src_Port > -0.9163788557052612 AND Flow_IAT_Min <= -0.21610040217638016 AND Flow_Duration <= -0.1525658294558525,Mirai-HTTP Flooding
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts <= -0.46345798671245575 AND Flow_IAT_Min > -0.24809429049491882 AND Dst_Port > -0.6557728350162506 AND Dst_Port <= 1.365336298942566 AND Bwd_PSH_Flags <= 2.5738614946603775 AND Src_Port <= 1.096891462802887 AND Flow_Duration <= -0.14957696199417114 AND Src_Port <= 0.2681964337825775 AND Src_Port > -1.2999852895736694 AND Dst_Port <= 1.298836350440979 AND Dst_Port <= 0.860032469034195 AND Init_Bwd_Win_Byts <= -0.6030022203922272 AND Src_Port <= -0.8920719027519226 AND Dst_Port > -0.49411383271217346 AND Flow_IAT_Min > -0.24368134140968323 AND Flow_Duration > -0.17729190737009048 AND Src_Port > -0.9163788557052612 AND Flow_IAT_Min > -0.21610040217638016 AND Flow_Duration > -0.16180414706468582,Mirai-HTTP Flooding
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts > -0.46345798671245575 AND Src_Port <= 0.8749170005321503 AND Src_Port <= 0.8734250068664551 AND Dst_Port > 1.8512156009674072 AND Dst_Port <= 1.8638468384742737 AND Dst_Port > 1.8575577139854431 AND Dst_Port <= 1.8590437769889832 AND Dst_Port <= 1.8583272695541382 AND Init_Bwd_Win_Byts > 1.9986262321472168 AND Init_Bwd_Win_Byts <= 1.9987854361534119 AND Flow_Duration > -0.1597662791609764 AND Flow_Duration <= -0.15473955124616623 AND Flow_IAT_Min <= -0.24257809668779373 AND Flow_IAT_Min <= -0.24423296004533768 AND Flow_Duration > -0.15935871005058289 AND Flow_Duration <= -0.15867942571640015 AND Flow_IAT_Min > -0.24478457868099213,Scan Hostport
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts <= -0.46345798671245575 AND Flow_IAT_Min > -0.24809429049491882 AND Dst_Port > -0.6557728350162506 AND Dst_Port <= 1.365336298942566 AND Bwd_PSH_Flags <= 2.5738614946603775 AND Src_Port <= 1.096891462802887 AND Flow_Duration > -0.14957696199417114 AND Dst_Port > -0.44733037054538727 AND Flow_Duration > -0.14930524677038193 AND Dst_Port <= -0.3370986729860306 AND Flow_IAT_Min > -0.23926838487386703 AND Flow_Duration <= -0.11805800721049309 AND Src_Port <= 0.9361713528633118 AND Flow_Duration > -0.12648117542266846 AND Flow_IAT_Min <= -0.1328059658408165 AND Flow_IAT_Min <= -0.234303817152977 AND Flow_IAT_Min > -0.2365102916955948 AND Flow_Duration <= -0.11873729526996613 AND Flow_Duration <= -0.12254130840301514,Mirai-Ackflooding
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts <= -0.46345798671245575 AND Flow_IAT_Min > -0.24809429049491882 AND Dst_Port > -0.6557728350162506 AND Dst_Port > 1.365336298942566 AND Dst_Port > 1.8418747782707214 AND Init_Bwd_Win_Byts <= -0.6030022203922272 AND Dst_Port > 2.1263437271118164 AND Dst_Port <= 2.133163571357727,Scan Hostport
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts <= -0.46345798671245575 AND Flow_IAT_Min > -0.24809429049491882 AND Dst_Port > -0.6557728350162506 AND Dst_Port <= 1.365336298942566 AND Bwd_PSH_Flags <= 2.5738614946603775 AND Src_Port <= 1.096891462802887 AND Flow_Duration > -0.14957696199417114 AND Dst_Port > -0.44733037054538727 AND Flow_Duration > -0.14930524677038193 AND Dst_Port > -0.3370986729860306 AND Init_Bwd_Win_Byts > -0.5835790634155273 AND Init_Bwd_Win_Byts <= -0.5765739977359772 AND Flow_IAT_Min > -0.24533619731664658 AND Flow_Duration > -0.1487618163228035 AND Flow_IAT_Min > -0.24478457868099213 AND Flow_Duration <= -0.13544777780771255 AND Flow_IAT_Min <= -0.15983528643846512 AND Flow_IAT_Min > -0.16424823552370071 AND Flow_Duration <= -0.1381649300456047,Mirai-HTTP Flooding
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts <= -0.46345798671245575 AND Flow_IAT_Min > -0.24809429049491882 AND Dst_Port > -0.6557728350162506 AND Dst_Port <= 1.365336298942566 AND Bwd_PSH_Flags <= 2.5738614946603775 AND Src_Port <= 1.096891462802887 AND Flow_Duration > -0.14957696199417114 AND Dst_Port > -0.44733037054538727 AND Flow_Duration > -0.14930524677038193 AND Dst_Port > -0.3370986729860306 AND Init_Bwd_Win_Byts > -0.5835790634155273 AND Init_Bwd_Win_Byts <= -0.5765739977359772 AND Flow_IAT_Min > -0.24533619731664658 AND Flow_Duration > -0.1487618163228035 AND Flow_IAT_Min > -0.24478457868099213 AND Flow_Duration > -0.13544777780771255 AND Flow_IAT_Min > -0.2177552580833435 AND Flow_IAT_Min > -0.2133423015475273 AND Flow_IAT_Min > -0.15376747399568558,Mirai-Ackflooding
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts <= -0.46345798671245575 AND Flow_IAT_Min > -0.24809429049491882 AND Dst_Port > -0.6557728350162506 AND Dst_Port <= 1.365336298942566 AND Bwd_PSH_Flags <= 2.5738614946603775 AND Src_Port <= 1.096891462802887 AND Flow_Duration > -0.14957696199417114 AND Dst_Port > -0.44733037054538727 AND Flow_Duration > -0.14930524677038193 AND Dst_Port <= -0.3370986729860306 AND Flow_IAT_Min <= -0.23926838487386703 AND Flow_IAT_Min > -0.24699105322360992 AND Flow_IAT_Min <= -0.24478457868099213 AND Flow_Duration <= -0.11697114631533623 AND Flow_Duration <= -0.11914486810564995 AND Flow_Duration <= -0.1199600137770176 AND Flow_Duration > -0.14033865183591843 AND Flow_Duration > -0.13001347333192825 AND Flow_IAT_Min > -0.24588781595230103,Mirai-Ackflooding
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts <= -0.46345798671245575 AND Flow_IAT_Min > -0.24809429049491882 AND Dst_Port <= -0.6557728350162506 AND Flow_Duration <= -0.14930524677038193 AND Src_Port > -1.2714509963989258 AND Init_Bwd_Win_Byts <= -0.5932110548019409 AND Src_Port > -1.1619142889976501 AND Init_Bwd_Win_Byts <= -0.5978280305862427 AND Init_Bwd_Win_Byts > -0.6002161204814911 AND Src_Port > 0.8472737967967987 AND Init_Bwd_Win_Byts <= -0.5979076325893402 AND Src_Port > 1.1741017699241638 AND Src_Port <= 1.2050191164016724,Mirai-Hostbruteforceg
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts <= -0.46345798671245575 AND Flow_IAT_Min > -0.24809429049491882 AND Dst_Port <= -0.6557728350162506 AND Flow_Duration > -0.14930524677038193 AND Init_Bwd_Win_Byts <= -0.5816287994384766 AND Init_Bwd_Win_Byts <= -0.5827034413814545 AND Src_Port <= 1.0507227778434753 AND Init_Bwd_Win_Byts > -0.5934100449085236 AND Init_Bwd_Win_Byts <= -0.5838576853275299 AND Flow_Duration > -0.14468608796596527 AND Flow_IAT_Min <= -0.14935452491044998 AND Flow_IAT_Min <= -0.15156099945306778 AND Flow_Duration <= -0.11697114631533623 AND Flow_IAT_Min <= -0.15321585536003113 AND Flow_Duration <= -0.12050344422459602 AND Flow_Duration <= -0.12104687467217445 AND Flow_Duration <= -0.12267716601490974 AND Init_Bwd_Win_Byts > -0.5915791988372803 AND Init_Bwd_Win_Byts > -0.5895891189575195,Mirai-Ackflooding
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts > -0.46345798671245575 AND Src_Port <= 0.8749170005321503 AND Src_Port <= 0.8734250068664551 AND Dst_Port <= 1.8512156009674072 AND Dst_Port <= 1.676102638244629 AND Flow_Duration <= -0.14930524677038193 AND Dst_Port <= -0.46147421002388 AND Src_Port <= 0.8123571872711182 AND Src_Port > 0.05121597461402416 AND Src_Port <= 0.7317277193069458 AND Init_Bwd_Win_Byts <= 0.048628779128193855 AND Dst_Port <= -0.6826541125774384 AND Src_Port > 0.5372099280357361 AND Src_Port <= 0.7045818567276001 AND Src_Port <= 0.569867879152298 AND Flow_IAT_Min > -0.22575372457504272 AND Init_Bwd_Win_Byts > -0.3496255576610565,MITM ARP Spoofing
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts <= -0.46345798671245575 AND Flow_IAT_Min > -0.24809429049491882 AND Dst_Port > -0.6557728350162506 AND Dst_Port <= 1.365336298942566 AND Bwd_PSH_Flags <= 2.5738614946603775 AND Src_Port <= 1.096891462802887 AND Flow_Duration > -0.14957696199417114 AND Dst_Port > -0.44733037054538727 AND Flow_Duration > -0.14930524677038193 AND Dst_Port <= -0.3370986729860306 AND Flow_IAT_Min <= -0.23926838487386703 AND Flow_IAT_Min > -0.24699105322360992 AND Flow_IAT_Min > -0.24478457868099213 AND Flow_Duration <= -0.1253943145275116 AND Flow_Duration <= -0.1272963210940361 AND Flow_Duration > -0.14740324020385742 AND Flow_Duration > -0.13762149959802628 AND Flow_Duration > -0.13653463870286942 AND Flow_IAT_Min <= -0.24257809668779373,Mirai-Ackflooding
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts <= -0.46345798671245575 AND Flow_IAT_Min > -0.24809429049491882 AND Dst_Port <= -0.6557728350162506 AND Flow_Duration <= -0.14930524677038193 AND Src_Port > -1.2714509963989258 AND Init_Bwd_Win_Byts <= -0.5932110548019409 AND Src_Port > -1.1619142889976501 AND Init_Bwd_Win_Byts <= -0.5978280305862427 AND Init_Bwd_Win_Byts > -0.6002161204814911 AND Src_Port <= 0.8472737967967987 AND Init_Bwd_Win_Byts <= -0.598624050617218 AND Src_Port <= 0.4540109485387802 AND Src_Port <= 0.29161232709884644 AND Src_Port > 0.09336460009217262 AND Src_Port > 0.10119752958416939 AND Src_Port <= 0.2644457519054413 AND Src_Port > 0.15248457342386246 AND Src_Port <= 0.19560714066028595 AND Src_Port <= 0.1820342019200325,MITM ARP Spoofing
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts <= -0.46345798671245575 AND Flow_IAT_Min > -0.24809429049491882 AND Dst_Port > -0.6557728350162506 AND Dst_Port <= 1.365336298942566 AND Bwd_PSH_Flags > 2.5738614946603775 AND Init_Bwd_Win_Byts <= -0.5981464684009552 AND Init_Bwd_Win_Byts > -0.5993803143501282 AND Flow_Duration > -0.15827184915542603 AND Flow_IAT_Min <= -0.19513888657093048 AND Flow_IAT_Min > -0.24368134140968323 AND Flow_IAT_Min <= -0.2378893420100212 AND Flow_IAT_Min <= -0.24147485941648483 AND Flow_Duration > -0.1580001339316368 AND Flow_Duration <= -0.15338097512722015 AND Flow_IAT_Min > -0.24257809668779373 AND Flow_Duration <= -0.1560981273651123 AND Flow_Duration <= -0.15664155781269073 AND Flow_IAT_Min <= -0.24202647805213928 AND Flow_Duration <= -0.15745670348405838,Scan Hostport
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts > -0.46345798671245575 AND Src_Port <= 0.8749170005321503 AND Src_Port > 0.8734250068664551 AND Src_Port > 0.8735286295413971 AND Src_Port > 0.8740052282810211 AND Src_Port > 0.874875545501709 AND Flow_IAT_Min <= -0.2332005798816681 AND Flow_IAT_Min <= -0.24092324078083038 AND Init_Bwd_Win_Byts <= 1.932635247707367 AND Flow_Duration > -0.17783533781766891 AND Flow_IAT_Min <= -0.24423296004533768 AND Flow_IAT_Min > -0.24533619731664658 AND Flow_Duration > -0.15990214049816132 AND Flow_Duration > -0.15908699482679367 AND Flow_IAT_Min <= -0.24478457868099213 AND Flow_Duration > -0.15840771049261093 AND Flow_Duration > -0.15310925990343094,Scan Port OS
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts <= -0.46345798671245575 AND Flow_IAT_Min > -0.24809429049491882 AND Dst_Port <= -0.6557728350162506 AND Flow_Duration > -0.14930524677038193 AND Init_Bwd_Win_Byts <= -0.5816287994384766 AND Init_Bwd_Win_Byts <= -0.5827034413814545 AND Src_Port <= 1.0507227778434753 AND Init_Bwd_Win_Byts > -0.5934100449085236 AND Init_Bwd_Win_Byts <= -0.5838576853275299 AND Flow_Duration > -0.14468608796596527 AND Flow_IAT_Min <= -0.14935452491044998 AND Flow_IAT_Min <= -0.15156099945306778 AND Flow_Duration <= -0.11697114631533623 AND Flow_IAT_Min <= -0.15321585536003113 AND Flow_Duration > -0.12050344422459602 AND Init_Bwd_Win_Byts <= -0.5902657508850098 AND Flow_Duration <= -0.11914486810564995 AND Init_Bwd_Win_Byts > -0.5915791988372803,Mirai-Ackflooding
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts > -0.46345798671245575 AND Src_Port > 0.8749170005321503 AND Src_Port <= 0.909543514251709 AND Src_Port <= 0.893028050661087 AND Dst_Port <= -0.5620997697114944 AND Src_Port > 0.8815687596797943 AND Src_Port <= 0.8835166394710541 AND Init_Bwd_Win_Byts <= -0.4363929331302643,Mirai-Hostbruteforceg
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts <= -0.46345798671245575 AND Flow_IAT_Min > -0.24809429049491882 AND Dst_Port > -0.6557728350162506 AND Dst_Port <= 1.365336298942566 AND Bwd_PSH_Flags <= 2.5738614946603775 AND Src_Port <= 1.096891462802887 AND Flow_Duration <= -0.14957696199417114 AND Src_Port <= 0.2681964337825775 AND Src_Port > -1.2999852895736694 AND Dst_Port <= 1.298836350440979 AND Dst_Port <= 0.860032469034195 AND Init_Bwd_Win_Byts <= -0.6030022203922272 AND Src_Port <= -0.8920719027519226 AND Dst_Port > -0.49411383271217346 AND Flow_IAT_Min > -0.24368134140968323 AND Flow_Duration > -0.17729190737009048 AND Src_Port > -0.9163788557052612 AND Flow_IAT_Min > -0.21610040217638016 AND Flow_Duration <= -0.16180414706468582,Mirai-Ackflooding
